Rk,Player,Age,Team_adv,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,RookieSeason,Team_sl,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Impact_PC1
52.0,P.J. Tucker,28.0,PHO,SF,81.0,81.0,2490.0,13.3,0.54,0.311,0.327,7.3,16.6,11.9,8.1,2.2,0.7,12.7,14.2,3.3,2.8,6.1,0.117,0.1,0.9,1.0,1.9,DPOY-12,2013-14,2013-14,PHX,7,22.6,11.9,4.7,8.6,0.55,0.3,1.1,0.25,2.1,2.9,0.75,1.7,4.1,5.9,1.1,1.4,0.1,1.3,2.4,1.0391448111058788
81.0,Jonas Valanciunas,21.0,TOR,C,81.0,81.0,2282.0,16.1,0.579,0.001,0.385,11.5,25.1,18.2,4.2,0.5,2.5,14.7,18.5,3.5,3.2,6.7,0.141,-0.6,-0.7,-1.3,0.4,,2013-14,2013-14,TOR,4,29.1,18.8,5.8,10.3,0.561,0.0,0.0,0.0,7.3,8.3,0.879,2.8,7.3,10.0,1.8,0.3,0.8,5.0,5.8,1.1393414518927958
95.0,Ben McLemore,20.0,SAC,SG,82.0,55.0,2187.0,7.7,0.485,0.437,0.211,2.7,9.5,6.1,5.8,1.0,0.7,11.5,16.9,-0.1,0.9,0.8,0.016,-2.9,-1.1,-4.0,-1.1,,2013-14,2013-14,SAC,5,30.1,15.8,5.2,15.6,0.333,1.4,7.2,0.194,4.0,5.4,0.741,1.0,4.0,5.0,0.0,0.6,0.4,3.6,1.8,-0.2923140278102816
101.0,Terrence Ross,22.0,TOR,SG,81.0,62.0,2159.0,12.0,0.553,0.543,0.13,2.3,11.3,6.8,6.1,1.5,1.0,10.0,18.6,2.0,2.2,4.2,0.094,0.0,-0.2,-0.2,1.0,,2013-14,2013-14,TOR,5,24.9,12.6,4.4,10.4,0.423,0.6,2.6,0.231,3.2,3.6,0.889,0.8,4.0,4.8,0.8,1.4,0.2,3.4,3.0,0.7283876905789105
104.0,Markieff Morris,24.0,PHO,PF,81.0,0.0,2153.0,18.4,0.564,0.128,0.387,7.3,18.0,12.6,10.9,1.6,1.8,12.9,23.2,4.0,2.4,6.4,0.143,0.8,0.2,1.0,1.6,6MOY-4,2013-14,2013-14,PHX,7,22.9,13.6,5.1,9.9,0.522,0.6,2.3,0.25,2.7,3.0,0.905,1.4,5.0,6.4,1.7,1.1,1.1,2.4,4.7,1.532958476881242
111.0,Dion Waiters,22.0,CLE,SG,70.0,24.0,2072.0,14.0,0.508,0.252,0.237,1.7,9.0,5.3,18.2,1.6,0.7,12.3,26.9,0.3,1.3,1.6,0.037,-0.3,-1.2,-1.5,0.3,6MOY-8,2013-14,2013-14,CLE,4,30.0,17.3,6.3,16.8,0.373,0.5,3.3,0.154,4.3,7.0,0.607,0.3,3.8,4.0,3.0,0.0,0.3,3.5,3.0,0.5010314922972793
131.0,Iman Shumpert,23.0,NYK,SG,74.0,58.0,1962.0,9.6,0.48,0.471,0.147,4.7,14.0,9.2,9.8,2.5,0.6,13.3,14.1,0.4,1.6,2.0,0.048,-2.4,0.4,-2.0,0.0,,2013-14,2013-14,NYK,1,27.4,2.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,4.0,0.0,0.0,4.0,3.0,0.1775976277833507
141.0,Tim Hardaway,21.0,NYK,SG,81.0,1.0,1875.0,12.7,0.554,0.521,0.186,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,2.7,0.4,3.1,0.08,0.0,-1.8,-1.8,0.1,"ROY-5,6MOY-13",2013-14,2013-14,NYK,2,19.8,11.0,3.5,9.0,0.389,1.0,4.0,0.25,3.0,3.5,0.857,1.5,2.0,3.5,1.5,0.5,0.0,2.0,2.0,0.5686725910664109
144.0,John Henson,23.0,MIL,PF,70.0,23.0,1856.0,17.9,0.543,0.002,0.277,10.2,20.8,15.3,10.9,1.2,5.1,13.7,20.3,1.7,1.5,3.3,0.084,-0.3,-0.2,-0.5,0.7,,2013-14,2013-14,MIL,3,27.2,14.7,5.7,10.3,0.548,0.0,0.0,0.0,3.3,5.0,0.667,5.0,8.7,13.7,0.3,0.3,3.0,5.0,3.7,1.0928519562832035
151.0,Marcus Morris,24.0,PHO,SF,82.0,1.0,1800.0,14.8,0.552,0.399,0.244,5.2,14.6,9.9,7.6,2.0,0.8,11.6,19.9,2.3,1.8,4.2,0.111,0.6,-0.1,0.5,1.1,,2013-14,2013-14,PHX,7,23.4,14.3,4.9,10.3,0.472,1.6,3.3,0.478,3.0,4.9,0.618,1.3,2.6,3.9,1.9,0.6,0.7,2.1,4.6,1.0768912372546473
