Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season
C.J. McCollum,POR,5,35.1,21.0,7.4,20.2,0.366,1.8,5.8,0.31,4.4,5.4,0.815,1.4,2.6,4.0,3.4,1.0,0.4,3.6,3.8,2013-14
Jeffery Taylor,CHA,4,31.1,20.3,7.0,14.8,0.475,1.8,4.8,0.368,4.5,6.5,0.692,0.3,2.5,2.8,1.0,1.8,0.3,2.3,4.3,2013-14
Andrew Goudelock,CHI,5,28.7,19.0,6.6,14.0,0.471,2.4,4.6,0.522,3.4,4.0,0.85,0.4,3.0,3.4,2.0,0.8,0.0,2.0,1.2,2013-14
Jonas Valanciunas,TOR,4,29.1,18.8,5.8,10.3,0.561,0.0,0.0,0.0,7.3,8.3,0.879,2.8,7.3,10.0,1.8,0.3,0.8,5.0,5.8,2013-14
Mike Scott,ATL,5,27.7,18.6,6.0,13.0,0.462,0.4,1.6,0.25,6.2,6.8,0.912,1.6,4.6,6.2,1.0,0.4,0.0,2.2,2.6,2013-14
Kent Bazemore,GOS,7,30.2,18.4,6.9,15.6,0.44,1.0,4.4,0.226,3.7,5.0,0.743,0.1,4.4,4.6,3.1,1.7,0.3,3.6,3.1,2013-14
Dwight Buycks,TOR,3,34.2,18.3,6.7,12.0,0.556,0.3,1.7,0.2,4.7,6.3,0.737,1.3,2.0,3.3,5.3,1.3,0.0,4.3,2.3,2013-14
Marquis Teague,CHI,4,30.8,18.3,5.5,12.5,0.44,1.5,2.0,0.75,5.8,7.3,0.793,0.0,2.8,2.8,4.8,0.5,0.0,3.5,3.0,2013-14
Austin Rivers,NOP,5,33.0,18.2,6.8,14.0,0.486,0.4,2.0,0.2,4.2,5.8,0.724,0.2,3.4,3.6,2.6,1.4,0.4,2.6,4.0,2013-14
Reggie Bullock,LAC,5,32.0,18.0,6.6,15.6,0.423,2.2,7.8,0.282,2.6,3.8,0.684,1.2,3.0,4.2,2.2,0.6,0.6,1.6,1.4,2013-14
John Jenkins,ATL,5,32.9,18.0,6.4,17.0,0.376,2.2,7.6,0.289,3.0,3.0,1.0,0.8,3.6,4.4,1.6,0.6,0.2,2.2,2.0,2013-14
Josh Akognon,DAL,6,26.1,17.5,5.5,13.2,0.418,3.0,7.7,0.391,3.5,3.7,0.955,0.5,1.8,2.3,1.0,1.0,0.0,0.7,2.7,2013-14
Dion Waiters,CLE,4,30.0,17.3,6.3,16.8,0.373,0.5,3.3,0.154,4.3,7.0,0.607,0.3,3.8,4.0,3.0,0.0,0.3,3.5,3.0,2013-14
Cody Zeller,CHA,4,31.9,16.3,6.5,12.5,0.52,0.0,0.5,0.0,3.3,4.5,0.722,1.3,8.0,9.3,1.5,0.3,0.8,3.5,4.0,2013-14
Ben McLemore,SAC,5,30.1,15.8,5.2,15.6,0.333,1.4,7.2,0.194,4.0,5.4,0.741,1.0,4.0,5.0,0.0,0.6,0.4,3.6,1.8,2013-14
Jordan Hamilton,DEN,4,26.8,15.8,5.8,14.3,0.404,2.8,6.3,0.44,1.5,1.8,0.857,1.8,4.0,5.8,0.8,1.5,0.3,1.3,4.0,2013-14
Marcus Landry,LAL,5,26.8,15.2,4.8,11.4,0.421,2.6,7.0,0.371,3.0,4.2,0.714,0.8,3.4,4.2,1.0,1.0,0.6,1.4,2.4,2013-14
Jack Cooley,MEM,6,30.3,15.0,6.5,12.3,0.527,0.5,2.2,0.231,1.5,2.2,0.692,3.5,5.7,9.2,0.7,0.7,1.2,1.8,5.2,2013-14
John Henson,MIL,3,27.2,14.7,5.7,10.3,0.548,0.0,0.0,0.0,3.3,5.0,0.667,5.0,8.7,13.7,0.3,0.3,3.0,5.0,3.7,2013-14
Will Barton,POR,4,30.9,14.5,6.3,16.3,0.385,0.5,4.3,0.118,1.5,3.0,0.5,2.0,4.5,6.5,2.5,1.8,0.5,3.5,2.8,2013-14
Marcus Morris,PHX,7,23.4,14.3,4.9,10.3,0.472,1.6,3.3,0.478,3.0,4.9,0.618,1.3,2.6,3.9,1.9,0.6,0.7,2.1,4.6,2013-14
